16SrDNA分析报告内容查错统计表	作者：唐毛毛	日期：20200324		
是否完成修改	分析报告章节标题	原始出错内容	修改后的内容	备注
	一 概述			
	二 项目流程			
	2.1 实验流程			
是	2.2 信息分析流程	进行微生物群路的功能预测分析(图2-2)	进行微生物群落的功能预测分析(图2-2)	
是	三 测序数据预处理	三测序数据预处理	三 测序数据预处理	
是		也可以直接点开相应的qzv解压缩文件夹通过网页形式直接点开HTML文件Summary_请点此文件查看.html查看。	也可以直接点开相应的qzv解压缩文件夹，通过网页形式直接点开HTML文件”Summary_请点此文件查看.html“查看。	
是	四 物种的注释与评估	2-AundanceAnalysis目录(主)	2-AbundanceAnalysis目录(主)	
是	4.1 物种组成分析	也可以称特征序列	也可以称为特征序列	
是		可以有效的评估样本的物种注释分辨率	可以有效地评估样本的物种注释分辨率	
是		横坐标(Sample Name)是样品名，纵坐标(Relative Abundance)表示相对丰度。	横坐标(Sample Name)是样品名，纵坐标(Relative Frequency)表示相对丰度。	
是		图例中最多显示最优势的20个种类,余下的相对丰度较低的物种被归类为Other在图中展示。更多完整的物种分布情况请参见结果部分./ 2-AundanceAnalysis/1-AbundanceSummary/2-Barplots/。 	更多完整的物种分布情况请参见结果部分./ 2-AundanceAnalysis/1-AbundanceSummary/2-Barplots/。 图例中最多显示最优势的20个种类,余下的相对丰度较低的物种被归类为Other在图中展示。	把两个句子调换顺序
是		中间的热图是log10(绝对丰度)热图,其他分类等级完整的热图聚类结果请参见结果部分	中间的热图是log10(绝对丰度)热图，其他分类等级完整的热图聚类结果请参见结果部分	
是		图中上方的聚类树为物种在各样品中的丰度分布相似程度聚类，左侧的聚类树为样品各物种的丰度分布相似程度聚类，	图中上方的聚类树为物种在所有样品中的丰度分布相似程度聚类，左侧的聚类树为样品的物种丰度分布相似程度聚类。	
是	4.2 组间OTU差异显著性分析	在ANCOM分析中,W值	在ANCOM分析中，W值	
	4.3 样品共有物种分析	对于分组较多的（大于等于3） # 张国兴工程师说这是对的		
	五 Alpha多样性分析			
是	5.1 Alpha多样性指数统计分析	Shannon指数,它的计算考虑到样品中的分类总数	Shannon指数，它的计算考虑到样品中的分类总数	
是		以数据量与物种多样性来构建的曲线	以测序数据量与物种多样性来构建的曲线	
	5.2 Alpha多样性指数组间差异检验			
	六 Beta多样性分析			
是	6.1 Beta多样性指数统计分析	不同样品间的微生物群落构差异	不同样品间的微生物群落结构差异	
是		在热图中分别代表Bray Curtis 我们基于Bray Curtis距离,	在热图中分别代表Bray Curtis 我们基于Bray Curtis距离，	
是		是一种用于判别分析的多变量统计分析方法,根据        # 这一段里共有6个逗号需要改为中文字符的逗号	是一种用于判别分析的多变量统计分析方法，根据	
是		但是并不能代表微生物群整体的情况	但是并不能代表微生物群落整体的情况	
	6.2 基于Beta多样性指数的组间菌群结构比较			
	七 系统进化分析			
是	7.1 特定物种系统进化分析	从使得标准化之后的丰度平均值为0	从而使得标准化之后的丰度平均值为0	
	八 关联统计分析			
是	8.1 CCA/RDA分析	看最大轴的值是否大于4,如果大于4.0	看最大轴的值是否大于4，如果大于4.0	
		表格Group×_RDA.envfit中的p值反映了每个环境因子对微生物差异的解释程  # 这里多了一个换行符  # 但是我看html源代码文件，里面没有人为地加入换行符		
	8.2 相关性热图分析			
	8.3 物种相互作用网络分析			
	8.4 Source tracker分析（VIP分析）			
	8.5 AYASDI拓扑数据分析（VIP分析）			
	九 样品微生物组成功能预测分析			
	9.1 预测微生物群落功能			
	9.2 预测功能PCA分析			
是	9.3 组间功能差异性分析	DunnTest多重比较组对	DunnTest多重比较的分组组合	
是		当且仅当ANOVA分析校正错误发现率后的p值（p.adj）小于0.05时   # 张国兴工程师说 “错误发现率”是一个术语，这里是正确的，但是我可以加个引号标示一下	当且仅当ANOVA分析校正”错误发现率“后的p值（p.adj）小于0.05时	
	十 参考文献			
是	十一 交付结果目录结构	2-AundanceAnalysis	2-AbundanceAnalysis	
	十二 联系我们			
