# Constructed from biom file
#OTU ID	Control1	Control2	Control3	Control4	Control5	Control6	CYH1	CYH2	CYH3	CYH4	CYH5	CYH6	CYH7	CYH8	Model1	Model10	Model2	Model3	Model4	Model5	Model6	Model7	Model8	Model9	MYH1	MYH2	MYH3	MYH4	MYH5	MYH6	MYH7	MYH8	MYH9	MYL1	MYL2	MYL3	MYL4	MYL5	MYL6	MYL7	MYL8	MYL9	taxonomy
e6d52dd044ee3abab50f030bd74627dc	54.0	78.0	84.0	184.0	203.0	97.0	555.0	253.0	49.0	201.0	130.0	136.0	32.0	81.0	0.0	0.0	0.0	0.0	34.0	100.0	0.0	99.0	55.0	0.0	70.0	73.0	33.0	0.0	0.0	381.0	251.0	86.0	102.0	303.0	133.0	227.0	341.0	123.0	336.0	258.0	221.0	352.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
742a7aeb9edacfb870468cdaf80fdafa	20.0	0.0	15.0	0.0	8.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	15.0	8.0	13.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia; s__
3d916d043962d4f6a09d74343f42c5d4	173.0	109.0	28.0	203.0	214.0	86.0	61.0	20.0	29.0	52.0	14.0	84.0	17.0	80.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	28.0	0.0	630.0	950.0	133.0	242.0	422.0	204.0	85.0	340.0	263.0	85.0	42.0	34.0	155.0	31.0	418.0	0.0	57.0	17.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
bd3a0859235f552d94d4d14e722785a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
5428f3efa81a39363f8a9f61e244e32e	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
6d35a735c67478d9cb6ef2087419c17c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	33.0	245.0	0.0	5.0	0.0	0.0	194.0	50.0	107.0	16.0	27.0	83.0	41.0	18.0	0.0	115.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
3226f4b850045f86931415f7c4466633	0.0	7.0	0.0	38.0	0.0	0.0	209.0	87.0	144.0	124.0	62.0	33.0	15.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	6.0	0.0	87.0	35.0	0.0	54.0	36.0	19.0	56.0	45.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
da6a7888c765a1a7dbffbd005686ee5b	110.0	0.0	5.0	15.0	22.0	51.0	22.0	32.0	53.0	84.0	26.0	37.0	61.0	0.0	10.0	10.0	0.0	12.0	0.0	5.0	27.0	0.0	0.0	0.0	366.0	69.0	49.0	36.0	9.0	58.0	22.0	8.0	47.0	24.0	3.0	26.0	43.0	49.0	31.0	0.0	85.0	54.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia; s__
3429ea4c7a1a432896beeac33cccf10b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
da7e2e5e6a92724e81f251c4a3ae1fbd	22.0	0.0	0.0	0.0	0.0	9.0	33.0	0.0	0.0	7.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	29.0	120.0	15.0	0.0	46.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
d1b4577a0a224146a0765cc86741369a	33.0	0.0	29.0	11.0	10.0	42.0	58.0	29.0	16.0	0.0	0.0	20.0	29.0	57.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	35.0	0.0	32.0	47.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	121.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
ed05ac2558b650d28b1a9029cc987044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	11.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	53.0	0.0	154.0	16.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
ae7813eddddd6e743133d688ddb6c35b	79.0	0.0	0.0	0.0	0.0	20.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	30.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	54.0	0.0	0.0	76.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
cc1f106dae404eca16e3b7d588d58645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	22.0	4.0	78.0	0.0	34.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	51.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
9405d6ed6d6f3e80f5a4cf4d7fdfc0d3	0.0	72.0	115.0	133.0	148.0	71.0	0.0	0.0	38.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
60ad690613589cad95c200968df41bb5	0.0	4.0	2.0	13.0	6.0	13.0	97.0	16.0	55.0	12.0	14.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	17.0	55.0	6.0	13.0	15.0	9.0	0.0	4.0	8.0	0.0	8.0	0.0	8.0	28.0	40.0	3.0	5.0	9.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
c623d98de4e75550f5f8cfd6903db2e6	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	126.0	17.0	55.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	36.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
